title,media_type,douban_rating,genres,countries,directors,casts,tags,url,summary
坠落的审判,电影,8.5,剧情 / 犯罪,法国,茹斯汀·特里耶,桑德拉·惠勒 / 斯万·阿劳德,法庭 / 女性 / 心理,https://movie.douban.com/subject/35633650/,一场死亡案件里不断翻转的亲密关系审判
白日之下,电影,7.9,剧情 / 犯罪,中国香港,简君晋,姜大卫 / 余香凝 / 林保怡,现实主义 / 社会 / 调查,https://movie.douban.com/subject/35712804/,记者调查院舍黑幕
三大队,电影,7.6,剧情 / 犯罪,中国大陆,戴墨,张译 / 李晨 / 魏晨,刑侦 / 现实主义 / 追凶,https://movie.douban.com/subject/35208463/,老刑警追凶多年
年会不能停！,电影,8.1,剧情 / 喜剧,中国大陆,董润年,大鹏 / 白客 / 庄达菲,职场 / 讽刺 / 喜剧,https://movie.douban.com/subject/35725869/,职场讽刺喜剧
河边的错误,电影,7.2,剧情 / 犯罪 / 悬疑,中国大陆,魏书钧,朱一龙 / 曾美慧孜,荒诞 / 文艺 / 犯罪,https://movie.douban.com/subject/35209683/,潮湿荒诞的犯罪迷雾
隐秘的角落,电视剧,8.8,剧情 / 悬疑 / 犯罪,中国大陆,辛爽,秦昊 / 王景春 / 荣梓杉,现实主义 / 家庭 / 犯罪,https://movie.douban.com/subject/33404425/,孩子、家庭与犯罪的阴影
模范出租车,电视剧,8.2,剧情 / 犯罪,韩国,朴俊宇,李帝勋 / 李絮,复仇 / 爽剧 / 单元剧,https://movie.douban.com/subject/35206444/,以暴制暴的韩国犯罪剧
我的解放日志,电视剧,9.0,剧情,韩国,金锡允,李民基 / 金智媛 / 孙锡久,生活流 / 治愈 / 丧,https://movie.douban.com/subject/35350437/,慢热生活流群像
想见你,电视剧,9.2,爱情 / 悬疑 / 奇幻,中国台湾,黄天仁,柯佳嬿 / 许光汉 / 施柏宇,时间循环 / 爱情 / 青春,https://movie.douban.com/subject/30468961/,爱情和悬疑结合
以爱为营,电视剧,4.3,爱情 / 甜宠,中国大陆,郭虎,白鹿 / 王鹤棣,工业糖精 / 霸总 / 狗血,https://movie.douban.com/subject/35881324/,纯甜宠套路
